x y z c
-0.25 -4.5 -19 0
0.25 -4.5 -19 0
0.75 -4.5 -19 0
1.25 -4.5 -19 0
1.75 -4.5 -19 0
2.25 -4.5 -19 0
2.75 -4.5 -19 0
3.25 -4.5 -19 0
3.75 -4.5 -19 0
4.25 -4.5 -19 0
4.75 -4.5 -19 0
5.25 -4.5 -19 0
5.75 -4.5 -19 0
6.25 -4.5 -19 0
6.75 -4.5 -19 0
7.25 -4.5 -19 0
7.75 -4.5 -19 0
8.25 -4.5 -19 0
8.75 -4.5 -19 0
9.25 -4.5 -19 0
9.75 -4.5 -19 0
10.25 -4.5 -19 0
10.75 -4.5 -19 0
11.25 -4.5 -19 0
11.75 -4.5 -19 0
12.5 -4.5 -19 0
13.5 -4.5 -19 0
14.5 -4.5 -19 0
15.5 -4.5 -19 0
16.5 -4.5 -19 0
17.5 -4.5 -19 0
18.5 -4.5 -19 0
19.5 -4.5 -19 0
20.5 -4.5 -19 0
21.5 -4.5 -19 0
22.5 -4.5 -19 0
23.5 -4.5 -19 0
24.5 -4.5 -19 0
25.5 -4.5 -19 0
26.5 -4.5 -19 0
27.5 -4.5 -19 0
28.5 -4.5 -19 0
29.5 -4.5 -19 0
31 -4.5 -19 0
33 -4.5 -19 0
36 -4.5 -19 0
40 -4.5 -19 0
44 -4.5 -19 0
48 -4.5 -19 0
-0.25 -3.5 -19 0
0.25 -3.5 -19 0
0.75 -3.5 -19 0
1.25 -3.5 -19 0
1.75 -3.5 -19 0
2.25 -3.5 -19 0
2.75 -3.5 -19 0
3.25 -3.5 -19 0
3.75 -3.5 -19 0
4.25 -3.5 -19 0
4.75 -3.5 -19 0
5.25 -3.5 -19 0
5.75 -3.5 -19 0
6.25 -3.5 -19 0
6.75 -3.5 -19 0
7.25 -3.5 -19 0
7.75 -3.5 -19 0
8.25 -3.5 -19 0
8.75 -3.5 -19 0
9.25 -3.5 -19 0
9.75 -3.5 -19 0
10.25 -3.5 -19 0
10.75 -3.5 -19 0
11.25 -3.5 -19 0
11.75 -3.5 -19 0
12.5 -3.5 -19 0
13.5 -3.5 -19 0
14.5 -3.5 -19 0
15.5 -3.5 -19 0
16.5 -3.5 -19 0
17.5 -3.5 -19 0
18.5 -3.5 -19 0
19.5 -3.5 -19 0
20.5 -3.5 -19 0
21.5 -3.5 -19 0
22.5 -3.5 -19 0
23.5 -3.5 -19 0
24.5 -3.5 -19 0
25.5 -3.5 -19 0
26.5 -3.5 -19 0
27.5 -3.5 -19 0
28.5 -3.5 -19 0
29.5 -3.5 -19 0
31 -3.5 -19 0
33 -3.5 -19 0
36 -3.5 -19 0
40 -3.5 -19 0
44 -3.5 -19 0
48 -3.5 -19 0
-0.25 -2.75 -19 0
0.25 -2.75 -19 0
0.75 -2.75 -19 0
1.25 -2.75 -19 0
1.75 -2.75 -19 0
2.25 -2.75 -19 0
2.75 -2.75 -19 0
3.25 -2.75 -19 0
3.75 -2.75 -19 0
4.25 -2.75 -19 0
4.75 -2.75 -19 0
5.25 -2.75 -19 0
5.75 -2.75 -19 0
6.25 -2.75 -19 0
6.75 -2.75 -19 0
7.25 -2.75 -19 0
7.75 -2.75 -19 0
8.25 -2.75 -19 0
8.75 -2.75 -19 0
9.25 -2.75 -19 0
9.75 -2.75 -19 0
10.25 -2.75 -19 0
10.75 -2.75 -19 0
11.25 -2.75 -19 0
11.75 -2.75 -19 0
12.5 -2.75 -19 0
13.5 -2.75 -19 0
14.5 -2.75 -19 0
15.5 -2.75 -19 0
16.5 -2.75 -19 0
17.5 -2.75 -19 0
18.5 -2.75 -19 0
19.5 -2.75 -19 0
20.5 -2.75 -19 0
21.5 -2.75 -19 0
22.5 -2.75 -19 0
23.5 -2.75 -19 0
24.5 -2.75 -19 0
25.5 -2.75 -19 0
26.5 -2.75 -19 0
27.5 -2.75 -19 0
28.5 -2.75 -19 0
29.5 -2.75 -19 0
31 -2.75 -19 0
33 -2.75 -19 0
36 -2.75 -19 0
40 -2.75 -19 0
44 -2.75 -19 0
48 -2.75 -19 0
-0.25 -2.25 -19 0
0.25 -2.25 -19 0
0.75 -2.25 -19 0
1.25 -2.25 -19 0
1.75 -2.25 -19 0
2.25 -2.25 -19 0
2.75 -2.25 -19 0
3.25 -2.25 -19 0
3.75 -2.25 -19 0
4.25 -2.25 -19 0
4.75 -2.25 -19 0
5.25 -2.25 -19 0
5.75 -2.25 -19 0
6.25 -2.25 -19 0
6.75 -2.25 -19 0
7.25 -2.25 -19 0
7.75 -2.25 -19 0
8.25 -2.25 -19 0
8.75 -2.25 -19 0
9.25 -2.25 -19 0
9.75 -2.25 -19 0
10.25 -2.25 -19 0
10.75 -2.25 -19 0
11.25 -2.25 -19 0
11.75 -2.25 -19 0
12.5 -2.25 -19 0
13.5 -2.25 -19 0
14.5 -2.25 -19 0
15.5 -2.25 -19 0
16.5 -2.25 -19 0
17.5 -2.25 -19 0
18.5 -2.25 -19 0
19.5 -2.25 -19 0
20.5 -2.25 -19 0
21.5 -2.25 -19 0
22.5 -2.25 -19 0
23.5 -2.25 -19 0
24.5 -2.25 -19 0
25.5 -2.25 -19 0
26.5 -2.25 -19 0
27.5 -2.25 -19 0
28.5 -2.25 -19 0
29.5 -2.25 -19 0
31 -2.25 -19 0
33 -2.25 -19 0
36 -2.25 -19 0
40 -2.25 -19 0
44 -2.25 -19 0
48 -2.25 -19 0
-0.25 -1.75 -19 0
0.25 -1.75 -19 0
0.75 -1.75 -19 0
1.25 -1.75 -19 0
1.75 -1.75 -19 0
2.25 -1.75 -19 0
2.75 -1.75 -19 0
3.25 -1.75 -19 0
3.75 -1.75 -19 0
4.25 -1.75 -19 0
4.75 -1.75 -19 0
5.25 -1.75 -19 0
5.75 -1.75 -19 0
6.25 -1.75 -19 0
6.75 -1.75 -19 0
7.25 -1.75 -19 0
7.75 -1.75 -19 0
8.25 -1.75 -19 0
8.75 -1.75 -19 0
9.25 -1.75 -19 0
9.75 -1.75 -19 0
10.25 -1.75 -19 0
10.75 -1.75 -19 0
11.25 -1.75 -19 0
11.75 -1.75 -19 0
12.5 -1.75 -19 0
13.5 -1.75 -19 0
14.5 -1.75 -19 0
15.5 -1.75 -19 0
16.5 -1.75 -19 0
17.5 -1.75 -19 0
18.5 -1.75 -19 0
19.5 -1.75 -19 0
20.5 -1.75 -19 0
21.5 -1.75 -19 0
22.5 -1.75 -19 0
23.5 -1.75 -19 0
24.5 -1.75 -19 0
25.5 -1.75 -19 0
26.5 -1.75 -19 0
27.5 -1.75 -19 0
28.5 -1.75 -19 0
29.5 -1.75 -19 0
31 -1.75 -19 0
33 -1.75 -19 0
36 -1.75 -19 0
40 -1.75 -19 0
44 -1.75 -19 0
48 -1.75 -19 0
-0.25 -1.25 -19 0
0.25 -1.25 -19 0
0.75 -1.25 -19 0
1.25 -1.25 -19 0
